id,family,genus,taxon,trait,dstate,value,units,N
267,Scrophulariaceae,Mimulus,Mimulus aurantiacus,Specific leaf area,NA,7.19,mm2 mg-1,1
268,Rosaceae,Neviusia,Neviusia cliftonii,Specific leaf area,NA,34.1,mm2 mg-1,2
269,Rosaceae,Oemleria,Oemleria cerasiformis,Specific leaf area,NA,16.6,mm2 mg-1,2
270,Rosaceae,Physocarpus,Physocarpus capitatus,Specific leaf area,NA,24.2,mm2 mg-1,5
271,Anacardiaceae,Pistacia,Pistacia atlantica,Specific leaf area,NA,11.1,mm2 mg-1,2
272,Salicaceae,Populus,Populus balsamifera ssp. trichocarpa,Specific leaf area,NA,17.7,mm2 mg-1,1
273,Rosaceae,Prunus,Prunus andersonii,Specific leaf area,NA,7.66,mm2 mg-1,3
274,Rosaceae,Prunus,Prunus cerasifera,Specific leaf area,NA,10.8,mm2 mg-1,2
275,Rosaceae,Prunus,Prunus dulcis,Specific leaf area,NA,13.1,mm2 mg-1,2
276,Rosaceae,Prunus,Prunus emarginata,Specific leaf area,NA,14.6,mm2 mg-1,4
277,Rosaceae,Prunus,Prunus fasciculata,Specific leaf area,NA,9.62,mm2 mg-1,5
278,Rosaceae,Prunus,Prunus fremontii,Specific leaf area,NA,9.74,mm2 mg-1,2
279,Rosaceae,Prunus,Prunus ilicifolia ssp. ilicifolia,Specific leaf area,NA,5.9,mm2 mg-1,9
280,Rosaceae,Prunus,Prunus ilicifolia ssp. lyonii,Specific leaf area,NA,9.54,mm2 mg-1,5
281,Rosaceae,Prunus,Prunus subcordata,Specific leaf area,NA,17.2,mm2 mg-1,3
282,Pinaceae,Pseudotsuga,Pseudotsuga menziesii var. menziesii,Specific leaf area,NA,12.8,mm2 mg-1,1
283,Rosaceae,Purshia,Purshia mexicana var. stansburyana,Specific leaf area,NA,3.43,mm2 mg-1,6
284,Rosaceae,Purshia,Purshia tridentata var. glandulosa,Specific leaf area,NA,2.92,mm2 mg-1,3
285,Rosaceae,Purshia,Purshia tridentata var. tridentata,Specific leaf area,NA,7.11,mm2 mg-1,3
286,Rosaceae,Pyracantha,Pyracantha angustifolia,Specific leaf area,NA,9.9,mm2 mg-1,1
287,Fagaceae,Quercus,Quercus agrifolia var. agrifolia,Specific leaf area,NA,6.6,mm2 mg-1,1
288,Fagaceae,Quercus,Quercus douglasii,Specific leaf area,NA,7.49,mm2 mg-1,1
289,Fagaceae,Quercus,Quercus durata,Specific leaf area,NA,4.41,mm2 mg-1,1
290,Fagaceae,Quercus,Quercus durata var. durata,Specific leaf area,NA,6.02,mm2 mg-1,2
291,Fagaceae,Quercus,Quercus kelloggii,Specific leaf area,NA,11.2,mm2 mg-1,1
292,Fagaceae,Quercus,Quercus lobata,Specific leaf area,NA,11.5,mm2 mg-1,1
293,Fagaceae,Quercus,Quercus palmeri,Specific leaf area,NA,3.78,mm2 mg-1,1
294,Fagaceae,Quercus,Quercus parvula,Specific leaf area,NA,5.38,mm2 mg-1,1
295,Rhamnaceae,Rhamnus,Rhamnus californica ssp. californica,Specific leaf area,NA,11.7,mm2 mg-1,10
296,Rhamnaceae,Rhamnus,Rhamnus crocea,Specific leaf area,NA,8.63,mm2 mg-1,5
297,Rhamnaceae,Rhamnus,Rhamnus ilicifolia,Specific leaf area,NA,5.98,mm2 mg-1,1
298,Rhamnaceae,Rhamnus,Rhamnus pirifolia,Specific leaf area,NA,10.1,mm2 mg-1,2
299,Rhamnaceae,Rhamnus,Rhamnus purshiana,Specific leaf area,NA,14.1,mm2 mg-1,3
300,Rhamnaceae,Rhamnus,Rhamnus tomentella ssp. crassifolia,Specific leaf area,NA,5.76,mm2 mg-1,1
301,Rhamnaceae,Rhamnus,Rhamnus tomentella ssp. tomentella,Specific leaf area,NA,9.44,mm2 mg-1,3
302,Anacardiaceae,Rhus,Rhus integrifolia,Specific leaf area,NA,4.59,mm2 mg-1,6
303,Anacardiaceae,Rhus,Rhus ovata,Specific leaf area,NA,3.19,mm2 mg-1,4
304,Anacardiaceae,Rhus,Rhus trilobata,Specific leaf area,NA,11,mm2 mg-1,5
305,Grossulariaceae,Ribes,Ribes californicum var. californicum,Specific leaf area,NA,22,mm2 mg-1,1
306,Grossulariaceae,Ribes,Ribes divaricatum var. pubiflorum,Specific leaf area,NA,34.6,mm2 mg-1,1
307,Grossulariaceae,Ribes,Ribes malvaceum var. malvaceum,Specific leaf area,NA,20.4,mm2 mg-1,1
308,Grossulariaceae,Ribes,Ribes sanguineum var. glutinosum,Specific leaf area,NA,32.5,mm2 mg-1,1
309,Rosaceae,Rosa,Rosa californica,Specific leaf area,NA,21.9,mm2 mg-1,1
310,Rosaceae,Rosa,Rosa spithamea,Specific leaf area,NA,25.3,mm2 mg-1,1
311,Rosaceae,Rubus,Rubus parviflorus,Specific leaf area,NA,44.9,mm2 mg-1,1
312,Rosaceae,Rubus,Rubus ursinus,Specific leaf area,NA,28.9,mm2 mg-1,1
313,Salicaceae,Salix,Salix lasiolepis,Specific leaf area,NA,12.9,mm2 mg-1,1
314,Salicaceae,Salix,Salix lucida ssp. lasiandra,Specific leaf area,NA,19.8,mm2 mg-1,1
315,Caprifoliaceae,Sambucus,Sambucus mexicana,Specific leaf area,NA,10.4,mm2 mg-1,1
316,Anacardiaceae,Schinus,Schinus molle,Specific leaf area,NA,8.33,mm2 mg-1,3
317,Anacardiaceae,Schinus,Schinus terebinthifolius,Specific leaf area,NA,8.9,mm2 mg-1,2
318,Taxodiaceae,Sequoia,Sequoia sempervirens,Specific leaf area,NA,11,mm2 mg-1,1
319,Solanaceae,Solanum,Solanum umbelliferum,Specific leaf area,NA,16.1,mm2 mg-1,1
320,Rosaceae,Sorbus,Sorbus aucuparia,Specific leaf area,NA,10.6,mm2 mg-1,1
321,Rosaceae,Sorbus,Sorbus scopulina var. cascadensis,Specific leaf area,NA,12.3,mm2 mg-1,3
322,Caprifoliaceae,Symphoricarpos,Symphoricarpos albus var. laevigatus,Specific leaf area,NA,35.7,mm2 mg-1,1
323,Caprifoliaceae,Symphoricarpos,Symphoricarpos mollis,Specific leaf area,NA,36.6,mm2 mg-1,1
324,Anacardiaceae,Toxicodendron,Toxicodendron diversilobum,Specific leaf area,NA,17.7,mm2 mg-1,3
325,Lauraceae,Umbellularia,Umbellularia californica,Specific leaf area,NA,10.8,mm2 mg-1,1
326,Ericaceae,Xylococcus,Xylococcus bicolor,Specific leaf area,NA,3.22,mm2 mg-1,3
327,Rosaceae,Adenostoma,Adenostoma fasciculatum,Blade length (c),NA,0.673,cm,11
328,Rosaceae,Adenostoma,Adenostoma sparsifolium,Blade length (c),NA,0.623,cm,7
329,Rhamnaceae,Adolphia,Adolphia californica,Blade length (c),NA,0.3,cm,1
330,Rosaceae,Amelanchier,Amelanchier utahensis,Blade length (c),NA,2.67,cm,2
331,Rosaceae,Aruncus,Aruncus dioicus var. pubescens,Blade length (c),NA,7.32,cm,2
332,Rhamnaceae,Ceanothus,Ceanothus arboreus,Blade length (c),NA,5.67,cm,3
333,Rhamnaceae,Ceanothus,Ceanothus cordulatus,Blade length (c),NA,1.43,cm,1
334,Rhamnaceae,Ceanothus,Ceanothus crassifolius,Blade length (c),NA,2.46,cm,3
335,Rhamnaceae,Ceanothus,Ceanothus cuneatus var. cuneatus,Blade length (c),NA,1.69,cm,4
336,Rhamnaceae,Ceanothus,Ceanothus cuneatus var. fascicularis,Blade length (c),NA,1.47,cm,2
337,Rhamnaceae,Ceanothus,Ceanothus cuneatus var. rigidus,Blade length (c),NA,0.71,cm,2
338,Rhamnaceae,Ceanothus,Ceanothus cyaneus,Blade length (c),NA,3.37,cm,1
339,Rhamnaceae,Ceanothus,Ceanothus divergens,Blade length (c),NA,1.6,cm,1
340,Rhamnaceae,Ceanothus,Ceanothus diversifolius,Blade length (c),NA,1.4,cm,1
341,Rhamnaceae,Ceanothus,Ceanothus ferrisiae,Blade length (c),NA,1.73,cm,1
342,Rhamnaceae,Ceanothus,Ceanothus foliosus,Blade length (c),NA,1.1,cm,3
343,Rhamnaceae,Ceanothus,Ceanothus gloriosus var. exaltatus,Blade length (c),NA,3,cm,2
344,Rhamnaceae,Ceanothus,Ceanothus gloriosus var. gloriosus,Blade length (c),NA,1.13,cm,1
345,Rhamnaceae,Ceanothus,Ceanothus gloriosus var. porrectus,Blade length (c),NA,2.08,cm,2
346,Rhamnaceae,Ceanothus,Ceanothus griseus,Blade length (c),NA,2.56,cm,4
347,Rhamnaceae,Ceanothus,Ceanothus hearstiorum,Blade length (c),NA,2.04,cm,4
348,Rhamnaceae,Ceanothus,Ceanothus impressus,Blade length (c),NA,0.353,cm,3
349,Rhamnaceae,Ceanothus,Ceanothus incanus,Blade length (c),NA,3.07,cm,2
350,Rhamnaceae,Ceanothus,Ceanothus integerrimus,Blade length (c),NA,3.08,cm,3
351,Rhamnaceae,Ceanothus,Ceanothus jepsonii var. jepsonii,Blade length (c),NA,1.98,cm,2
352,Rhamnaceae,Ceanothus,Ceanothus lemmonii,Blade length (c),NA,3.13,cm,1
353,Rhamnaceae,Ceanothus,Ceanothus leucodermis,Blade length (c),NA,2.37,cm,1
354,Rhamnaceae,Ceanothus,Ceanothus maritimus,Blade length (c),NA,1.52,cm,7
355,Rhamnaceae,Ceanothus,Ceanothus masonii,Blade length (c),NA,1.74,cm,2
356,Rhamnaceae,Ceanothus,Ceanothus megacarpus var. insularis,Blade length (c),NA,1.75,cm,2
357,Rhamnaceae,Ceanothus,Ceanothus megacarpus var. megacarpus,Blade length (c),NA,3.7,cm,1
358,Rhamnaceae,Ceanothus,Ceanothus oliganthus var. oliganthus,Blade length (c),NA,2.74,cm,3
359,Rhamnaceae,Ceanothus,Ceanothus oliganthus var. sorediatus,Blade length (c),NA,2.47,cm,2
360,Rhamnaceae,Ceanothus,Ceanothus papillosus,Blade length (c),NA,3.14,cm,2
361,Rhamnaceae,Ceanothus,Ceanothus prostratus,Blade length (c),NA,1.23,cm,1
362,Rhamnaceae,Ceanothus,Ceanothus purpureus,Blade length (c),NA,2.2,cm,2
363,Rhamnaceae,Ceanothus,Ceanothus spinosus,Blade length (c),NA,3.37,cm,1
364,Rhamnaceae,Ceanothus,Ceanothus thyrsiflorus,Blade length (c),NA,2.86,cm,11
365,Rhamnaceae,Ceanothus,Ceanothus tomentosus,Blade length (c),NA,2.2,cm,1
366,Rhamnaceae,Ceanothus,Ceanothus velutinus var. hookeri,Blade length (c),NA,7.83,cm,1
367,Rhamnaceae,Ceanothus,Ceanothus verrucosus,Blade length (c),NA,1.3,cm,1
368,Rosaceae,Cercocarpus,Cercocarpus betuloides,Blade length (c),NA,2.47,cm,13
369,Rosaceae,Cercocarpus,Cercocarpus intricatus,Blade length (c),NA,0.705,cm,6
370,Rosaceae,Cercocarpus,Cercocarpus ledifolius,Blade length (c),NA,2.07,cm,10
371,Rosaceae,Cercocarpus,Cercocarpus minutiflorus,Blade length (c),NA,2.13,cm,1
372,Rosaceae,Cercocarpus,Cercocarpus traskiae,Blade length (c),NA,3.45,cm,2
373,Rosaceae,Chamaebatiaria,Chamaebatiaria millefolium,Blade length (c),NA,0.537,cm,6
374,Rutaceae,Cneoridium,Cneoridium dumosum,Blade length (c),NA,2.13,cm,1
375,Rosaceae,Cotoneaster,Cotoneaster franchetii,Blade length (c),NA,4.26,cm,2
376,Rosaceae,Crataegus,Crataegus douglasii,Blade length (c),NA,5.87,cm,1
377,Hydrophyllaceae,Eriodictyon,Eriodictyon crassifolium var. nigrescens,Blade length (c),NA,10.1,cm,1
378,Sterculiaceae,Fremontodendron,Fremontodendron californicum,Blade length (c),NA,2.77,cm,2
379,Garryaceae,Garrya,Garrya congdonii,Blade length (c),NA,5.13,cm,3
380,Garryaceae,Garrya,Garrya elliptica,Blade length (c),NA,6.14,cm,8
381,Garryaceae,Garrya,Garrya flavescens,Blade length (c),NA,6.47,cm,2
382,Garryaceae,Garrya,Garrya fremontii,Blade length (c),NA,6.66,cm,3
383,Garryaceae,Garrya,Garrya veatchii,Blade length (c),NA,5.27,cm,2
384,Rosaceae,Heteromeles,Heteromeles arbutifolia,Blade length (c),NA,7.19,cm,22
385,Rosaceae,Holodiscus,Holodiscus discolor,Blade length (c),NA,6.33,cm,1
386,Rosaceae,Lyonothamnus,Lyonothamnus floribundus ssp. aspleniifolius,Blade length (c),NA,10,cm,1
387,Anacardiaceae,Malosma,Malosma laurina,Blade length (c),NA,6.05,cm,6
388,Rosaceae,Malus,Malus fusca,Blade length (c),NA,8.53,cm,2
389,Rosaceae,Neviusia,Neviusia cliftonii,Blade length (c),NA,4.45,cm,2
390,Rosaceae,Oemleria,Oemleria cerasiformis,Blade length (c),NA,8.5,cm,1
391,Rosaceae,Physocarpus,Physocarpus capitatus,Blade length (c),NA,5.74,cm,5
392,Rosaceae,Prunus,Prunus emarginata,Blade length (c),NA,4.97,cm,2
393,Rosaceae,Prunus,Prunus fremontii,Blade length (c),NA,2.03,cm,1
394,Rosaceae,Prunus,Prunus ilicifolia ssp. ilicifolia,Blade length (c),NA,4.16,cm,5
395,Rosaceae,Prunus,Prunus ilicifolia ssp. lyonii,Blade length (c),NA,6.48,cm,3
396,Rosaceae,Prunus,Prunus subcordata,Blade length (c),NA,4.63,cm,3
397,Rosaceae,Pyracantha,Pyracantha angustifolia,Blade length (c),NA,2.37,cm,1
398,Fagaceae,Quercus,Quercus durata,Blade length (c),NA,2.33,cm,1
399,Fagaceae,Quercus,Quercus durata var. durata,Blade length (c),NA,3.93,cm,1
400,Fagaceae,Quercus,Quercus palmeri,Blade length (c),NA,3.27,cm,1
401,Fagaceae,Quercus,Quercus parvula,Blade length (c),NA,4.28,cm,1
402,Rhamnaceae,Rhamnus,Rhamnus californica ssp. californica,Blade length (c),NA,5.56,cm,9
403,Rhamnaceae,Rhamnus,Rhamnus crocea,Blade length (c),NA,1.12,cm,4
404,Rhamnaceae,Rhamnus,Rhamnus ilicifolia,Blade length (c),NA,1.5,cm,1
405,Rhamnaceae,Rhamnus,Rhamnus pirifolia,Blade length (c),NA,4.5,cm,2
406,Rhamnaceae,Rhamnus,Rhamnus purshiana,Blade length (c),NA,7.67,cm,2
407,Rhamnaceae,Rhamnus,Rhamnus tomentella ssp. crassifolia,Blade length (c),NA,3.13,cm,1
408,Rhamnaceae,Rhamnus,Rhamnus tomentella ssp. tomentella,Blade length (c),NA,5.7,cm,3
409,Anacardiaceae,Rhus,Rhus integrifolia,Blade length (c),NA,5.06,cm,4
410,Anacardiaceae,Rhus,Rhus ovata,Blade length (c),NA,5.83,cm,2
411,Anacardiaceae,Rhus,Rhus trilobata,Blade length (c),NA,2.3,cm,4
412,Rosaceae,Sorbus,Sorbus aucuparia,Blade length (c),NA,4.4,cm,1
413,Rosaceae,Sorbus,Sorbus scopulina var. cascadensis,Blade length (c),NA,5.87,cm,3
414,Rosaceae,Adenostoma,Adenostoma fasciculatum,Blade width (c),NA,0.0845,cm,11
415,Rosaceae,Adenostoma,Adenostoma sparsifolium,Blade width (c),NA,0.129,cm,7
416,Rhamnaceae,Adolphia,Adolphia californica,Blade width (c),NA,0.18,cm,1
417,Rosaceae,Amelanchier,Amelanchier utahensis,Blade width (c),NA,1.89,cm,2
418,Rosaceae,Aruncus,Aruncus dioicus var. pubescens,Blade width (c),NA,4.18,cm,2
419,Rhamnaceae,Ceanothus,Ceanothus arboreus,Blade width (c),NA,3.72,cm,3
420,Rhamnaceae,Ceanothus,Ceanothus cordulatus,Blade width (c),NA,0.83,cm,1
421,Rhamnaceae,Ceanothus,Ceanothus crassifolius,Blade width (c),NA,1.3,cm,3
422,Rhamnaceae,Ceanothus,Ceanothus cuneatus var. cuneatus,Blade width (c),NA,0.9,cm,4
423,Rhamnaceae,Ceanothus,Ceanothus cuneatus var. fascicularis,Blade width (c),NA,0.65,cm,2
424,Rhamnaceae,Ceanothus,Ceanothus cuneatus var. rigidus,Blade width (c),NA,0.59,cm,2
425,Rhamnaceae,Ceanothus,Ceanothus cyaneus,Blade width (c),NA,1.83,cm,1
426,Rhamnaceae,Ceanothus,Ceanothus divergens,Blade width (c),NA,1.3,cm,1
427,Rhamnaceae,Ceanothus,Ceanothus diversifolius,Blade width (c),NA,0.67,cm,1
428,Rhamnaceae,Ceanothus,Ceanothus ferrisiae,Blade width (c),NA,1.13,cm,1
429,Rhamnaceae,Ceanothus,Ceanothus foliosus,Blade width (c),NA,0.557,cm,3
430,Rhamnaceae,Ceanothus,Ceanothus gloriosus var. exaltatus,Blade width (c),NA,2.1,cm,2
431,Rhamnaceae,Ceanothus,Ceanothus gloriosus var. gloriosus,Blade width (c),NA,1.07,cm,1
432,Rhamnaceae,Ceanothus,Ceanothus gloriosus var. porrectus,Blade width (c),NA,0.965,cm,2
433,Rhamnaceae,Ceanothus,Ceanothus griseus,Blade width (c),NA,1.56,cm,4
434,Rhamnaceae,Ceanothus,Ceanothus hearstiorum,Blade width (c),NA,0.808,cm,4
435,Rhamnaceae,Ceanothus,Ceanothus impressus,Blade width (c),NA,0.267,cm,3
436,Rhamnaceae,Ceanothus,Ceanothus incanus,Blade width (c),NA,2.1,cm,2
437,Rhamnaceae,Ceanothus,Ceanothus integerrimus,Blade width (c),NA,1.83,cm,3
438,Rhamnaceae,Ceanothus,Ceanothus jepsonii var. jepsonii,Blade width (c),NA,1.37,cm,2
439,Rhamnaceae,Ceanothus,Ceanothus lemmonii,Blade width (c),NA,1.9,cm,1
440,Rhamnaceae,Ceanothus,Ceanothus leucodermis,Blade width (c),NA,1.57,cm,1
441,Rhamnaceae,Ceanothus,Ceanothus maritimus,Blade width (c),NA,0.853,cm,7
442,Rhamnaceae,Ceanothus,Ceanothus masonii,Blade width (c),NA,1.12,cm,2
443,Rhamnaceae,Ceanothus,Ceanothus megacarpus var. insularis,Blade width (c),NA,1.23,cm,2
444,Rhamnaceae,Ceanothus,Ceanothus megacarpus var. megacarpus,Blade width (c),NA,1.43,cm,1
445,Rhamnaceae,Ceanothus,Ceanothus oliganthus var. oliganthus,Blade width (c),NA,1.41,cm,3
446,Rhamnaceae,Ceanothus,Ceanothus oliganthus var. sorediatus,Blade width (c),NA,1.19,cm,2
447,Rhamnaceae,Ceanothus,Ceanothus papillosus,Blade width (c),NA,0.75,cm,2
448,Rhamnaceae,Ceanothus,Ceanothus prostratus,Blade width (c),NA,0.68,cm,1
449,Rhamnaceae,Ceanothus,Ceanothus purpureus,Blade width (c),NA,1.5,cm,2
450,Rhamnaceae,Ceanothus,Ceanothus spinosus,Blade width (c),NA,1.63,cm,1
451,Rhamnaceae,Ceanothus,Ceanothus thyrsiflorus,Blade width (c),NA,1.44,cm,11
452,Rhamnaceae,Ceanothus,Ceanothus tomentosus,Blade width (c),NA,1.27,cm,1
453,Rhamnaceae,Ceanothus,Ceanothus velutinus var. hookeri,Blade width (c),NA,5.67,cm,1
454,Rhamnaceae,Ceanothus,Ceanothus verrucosus,Blade width (c),NA,1.37,cm,1
455,Rosaceae,Cercocarpus,Cercocarpus betuloides,Blade width (c),NA,1.62,cm,13
456,Rosaceae,Cercocarpus,Cercocarpus intricatus,Blade width (c),NA,0.135,cm,6
457,Rosaceae,Cercocarpus,Cercocarpus ledifolius,Blade width (c),NA,0.672,cm,10
458,Rosaceae,Cercocarpus,Cercocarpus minutiflorus,Blade width (c),NA,1.67,cm,1
459,Rosaceae,Cercocarpus,Cercocarpus traskiae,Blade width (c),NA,2.53,cm,2
460,Rosaceae,Chamaebatiaria,Chamaebatiaria millefolium,Blade width (c),NA,0.162,cm,6
461,Rutaceae,Cneoridium,Cneoridium dumosum,Blade width (c),NA,0.32,cm,1
462,Rosaceae,Cotoneaster,Cotoneaster franchetii,Blade width (c),NA,2.01,cm,2
463,Rosaceae,Crataegus,Crataegus douglasii,Blade width (c),NA,5.23,cm,1
464,Hydrophyllaceae,Eriodictyon,Eriodictyon crassifolium var. nigrescens,Blade width (c),NA,2.45,cm,1
465,Sterculiaceae,Fremontodendron,Fremontodendron californicum,Blade width (c),NA,2.5,cm,2
466,Garryaceae,Garrya,Garrya congdonii,Blade width (c),NA,3.16,cm,3
467,Garryaceae,Garrya,Garrya elliptica,Blade width (c),NA,3.83,cm,8
468,Garryaceae,Garrya,Garrya flavescens,Blade width (c),NA,3.58,cm,2
469,Garryaceae,Garrya,Garrya fremontii,Blade width (c),NA,3.28,cm,3
470,Garryaceae,Garrya,Garrya veatchii,Blade width (c),NA,2.92,cm,2
471,Rosaceae,Heteromeles,Heteromeles arbutifolia,Blade width (c),NA,2.7,cm,22
472,Rosaceae,Holodiscus,Holodiscus discolor,Blade width (c),NA,3.37,cm,1
473,Rosaceae,Lyonothamnus,Lyonothamnus floribundus ssp. aspleniifolius,Blade width (c),NA,1.03,cm,1
474,Anacardiaceae,Malosma,Malosma laurina,Blade width (c),NA,2.63,cm,6
475,Rosaceae,Malus,Malus fusca,Blade width (c),NA,3.94,cm,2
476,Rosaceae,Neviusia,Neviusia cliftonii,Blade width (c),NA,4.06,cm,2
477,Rosaceae,Oemleria,Oemleria cerasiformis,Blade width (c),NA,2.53,cm,1
478,Rosaceae,Physocarpus,Physocarpus capitatus,Blade width (c),NA,5.66,cm,5
479,Rosaceae,Prunus,Prunus emarginata,Blade width (c),NA,2.77,cm,2
480,Rosaceae,Prunus,Prunus fremontii,Blade width (c),NA,1.43,cm,1
481,Rosaceae,Prunus,Prunus ilicifolia ssp. ilicifolia,Blade width (c),NA,3.09,cm,5
482,Rosaceae,Prunus,Prunus ilicifolia ssp. lyonii,Blade width (c),NA,4.87,cm,3
483,Rosaceae,Prunus,Prunus subcordata,Blade width (c),NA,3.53,cm,3
484,Rosaceae,Pyracantha,Pyracantha angustifolia,Blade width (c),NA,0.87,cm,1
485,Fagaceae,Quercus,Quercus durata,Blade width (c),NA,1.68,cm,1
486,Fagaceae,Quercus,Quercus durata var. durata,Blade width (c),NA,2.38,cm,1
487,Fagaceae,Quercus,Quercus palmeri,Blade width (c),NA,3.1,cm,1
488,Fagaceae,Quercus,Quercus parvula,Blade width (c),NA,1.82,cm,1
489,Rhamnaceae,Rhamnus,Rhamnus californica ssp. californica,Blade width (c),NA,2.21,cm,9
490,Rhamnaceae,Rhamnus,Rhamnus crocea,Blade width (c),NA,0.698,cm,4
491,Rhamnaceae,Rhamnus,Rhamnus ilicifolia,Blade width (c),NA,0.87,cm,1
492,Rhamnaceae,Rhamnus,Rhamnus pirifolia,Blade width (c),NA,2.62,cm,2
493,Rhamnaceae,Rhamnus,Rhamnus purshiana,Blade width (c),NA,4,cm,2
494,Rhamnaceae,Rhamnus,Rhamnus tomentella ssp. crassifolia,Blade width (c),NA,1.27,cm,1
495,Rhamnaceae,Rhamnus,Rhamnus tomentella ssp. tomentella,Blade width (c),NA,2.33,cm,3
496,Anacardiaceae,Rhus,Rhus integrifolia,Blade width (c),NA,3.29,cm,4
497,Anacardiaceae,Rhus,Rhus ovata,Blade width (c),NA,4.53,cm,2
498,Anacardiaceae,Rhus,Rhus trilobata,Blade width (c),NA,1.84,cm,4
499,Rosaceae,Sorbus,Sorbus aucuparia,Blade width (c),NA,1.6,cm,1
500,Rosaceae,Sorbus,Sorbus scopulina var. cascadensis,Blade width (c),NA,2.52,cm,3
501,Rosaceae,Adenostoma,Adenostoma fasciculatum,Leaf thickness,NA,715,micron,1
502,Ericaceae,Arbutus,Arbutus menziesii,Leaf thickness,NA,321,micron,1
503,Rhamnaceae,Ceanothus,Ceanothus arboreus,Leaf thickness,NA,200,micron,1
504,Rhamnaceae,Ceanothus,Ceanothus cuneatus var. cuneatus,Leaf thickness,NA,749,micron,1
505,Rhamnaceae,Ceanothus,Ceanothus cyaneus,Leaf thickness,NA,249,micron,1
506,Rhamnaceae,Ceanothus,Ceanothus divergens,Leaf thickness,NA,625,micron,1
507,Rhamnaceae,Ceanothus,Ceanothus ferrisiae,Leaf thickness,NA,945,micron,1
508,Rhamnaceae,Ceanothus,Ceanothus foliosus,Leaf thickness,NA,261,micron,1
509,Rhamnaceae,Ceanothus,Ceanothus gloriosus var. porrectus,Leaf thickness,NA,664,micron,1
510,Rhamnaceae,Ceanothus,Ceanothus hearstiorum,Leaf thickness,NA,132,micron,1
511,Rhamnaceae,Ceanothus,Ceanothus incanus,Leaf thickness,NA,252,micron,2
512,Rhamnaceae,Ceanothus,Ceanothus integerrimus,Leaf thickness,NA,175,micron,1
513,Rhamnaceae,Ceanothus,Ceanothus jepsonii var. jepsonii,Leaf thickness,NA,593,micron,1
514,Rhamnaceae,Ceanothus,Ceanothus maritimus,Leaf thickness,NA,715,micron,1
515,Rhamnaceae,Ceanothus,Ceanothus megacarpus var. megacarpus,Leaf thickness,NA,431,micron,1
516,Rhamnaceae,Ceanothus,Ceanothus oliganthus var. oliganthus,Leaf thickness,NA,317,micron,1
517,Rhamnaceae,Ceanothus,Ceanothus prostratus,Leaf thickness,NA,178,micron,1
518,Rhamnaceae,Ceanothus,Ceanothus thyrsiflorus,Leaf thickness,NA,306,micron,1
519,Rhamnaceae,Ceanothus,Ceanothus tomentosus,Leaf thickness,NA,208,micron,1
520,Rosaceae,Cercocarpus,Cercocarpus betuloides,Leaf thickness,NA,236,micron,1
521,Rosaceae,Heteromeles,Heteromeles arbutifolia,Leaf thickness,NA,303,micron,1
522,Rosaceae,Holodiscus,Holodiscus discolor,Leaf thickness,NA,94.5,micron,1
523,Rosaceae,Lyonothamnus,Lyonothamnus floribundus ssp. aspleniifolius,Leaf thickness,NA,242,micron,1
524,Rosaceae,Prunus,Prunus ilicifolia ssp. lyonii,Leaf thickness,NA,283,micron,1
525,Rhamnaceae,Rhamnus,Rhamnus californica ssp. californica,Leaf thickness,NA,221,micron,1
526,Rhamnaceae,Rhamnus,Rhamnus crocea,Leaf thickness,NA,268,micron,1
527,Rhamnaceae,Rhamnus,Rhamnus pirifolia,Leaf thickness,NA,224,micron,1
528,Rhamnaceae,Rhamnus,Rhamnus purshiana,Leaf thickness,NA,194,micron,1
529,Rhamnaceae,Rhamnus,Rhamnus tomentella ssp. tomentella,Leaf thickness,NA,215,micron,1
530,Rosaceae,Adenostoma,Adenostoma fasciculatum,Leaf type,simple,NA,NA,12
531,Rosaceae,Adenostoma,Adenostoma sparsifolium,Leaf type,simple,NA,NA,7
532,Rhamnaceae,Adolphia,Adolphia californica,Leaf type,simple,NA,NA,2
533,Rosaceae,Amelanchier,Amelanchier utahensis,Leaf type,simple,NA,NA,2
534,Ericaceae,Arbutus,Arbutus menziesii,Leaf type,simple,NA,NA,4
535,Ericaceae,Arctostaphylos,Arctostaphylos andersonii,Leaf type,simple,NA,NA,1
536,Ericaceae,Arctostaphylos,Arctostaphylos bakeri ssp. bakeri,Leaf type,simple,NA,NA,1
537,Ericaceae,Arctostaphylos,Arctostaphylos hispidula,Leaf type,simple,NA,NA,1
538,Ericaceae,Arctostaphylos,Arctostaphylos hookeri ssp. franciscana,Leaf type,simple,NA,NA,2
539,Ericaceae,Arctostaphylos,Arctostaphylos hookeri ssp. hookeri,Leaf type,simple,NA,NA,1
540,Ericaceae,Arctostaphylos,Arctostaphylos manzanita ssp. manzanita,Leaf type,simple,NA,NA,2
541,Ericaceae,Arctostaphylos,Arctostaphylos nummularia,Leaf type,simple,NA,NA,6
542,Ericaceae,Arctostaphylos,Arctostaphylos obispoensis,Leaf type,simple,NA,NA,1
543,Ericaceae,Arctostaphylos,Arctostaphylos pajaroensis,Leaf type,simple,NA,NA,2
544,Ericaceae,Arctostaphylos,Arctostaphylos pilosula,Leaf type,simple,NA,NA,1
545,Ericaceae,Arctostaphylos,Arctostaphylos pumila,Leaf type,simple,NA,NA,1
546,Ericaceae,Arctostaphylos,Arctostaphylos purissima,Leaf type,simple,NA,NA,1
547,Ericaceae,Arctostaphylos,Arctostaphylos rudis,Leaf type,simple,NA,NA,1
